Day,Week,ID,Replicate,Treatment,Stressor_app,Light_level,Light_conc,Diuron_level,Diuron_conc,Avg_Photo_Total,Day0PE
6,2,7F,6,7,StaticStatic,Medium Light,75,High Herbicide,2,0.7265,0.769
6,3,7G,7,7,StaticStatic,Medium Light,75,High Herbicide,2,0.3265,0.77275
6,3,7H,8,7,StaticStatic,Medium Light,75,High Herbicide,2,0.37075,0.7715
6,3,7I,9,7,StaticStatic,Medium Light,75,High Herbicide,2,0.6575,0.7835
6,4,7J,10,7,StaticStatic,Medium Light,75,High Herbicide,2,0.581,0.77425
6,4,7K,11,7,StaticStatic,Medium Light,75,High Herbicide,2,0.6935,0.78975
6,4,7L,12,7,StaticStatic,Medium Light,75,High Herbicide,2,0.60025,0.82875
7,1,7A,1,7,StaticStatic,Medium Light,75,High Herbicide,2,0.4765,0.778
7,1,7B,2,7,StaticStatic,Medium Light,75,High Herbicide,2,0.027,0.77375
7,1,7C,3,7,StaticStatic,Medium Light,75,High Herbicide,2,0.42625,0.80075
7,2,7F,6,7,StaticStatic,Medium Light,75,High Herbicide,2,0.68775,0.769
7,2,7D,4,7,StaticStatic,Medium Light,75,High Herbicide,2,0.59075,0.775
7,2,7E,5,7,StaticStatic,Medium Light,75,High Herbicide,2,0.5215,0.734
7,3,7G,7,7,StaticStatic,Medium Light,75,High Herbicide,2,0.3785,0.77275
7,3,7H,8,7,StaticStatic,Medium Light,75,High Herbicide,2,0.41675,0.7715
7,3,7I,9,7,StaticStatic,Medium Light,75,High Herbicide,2,0.5935,0.7835
7,4,7L,12,7,StaticStatic,Medium Light,75,High Herbicide,2,0.64775,0.82875
7,4,7J,10,7,StaticStatic,Medium Light,75,High Herbicide,2,0.44975,0.77425
7,4,7K,11,7,StaticStatic,Medium Light,75,High Herbicide,2,0.51,0.78975
2,1,8A,1,8,StaticStatic,Low Light,25,High Herbicide,2,0.40425,0.8045
2,1,8B,2,8,StaticStatic,Low Light,25,High Herbicide,2,0.76825,0.78275
2,1,8C,3,8,StaticStatic,Low Light,25,High Herbicide,2,0.3445,0.74825
2,2,8D,4,8,StaticStatic,Low Light,25,High Herbicide,2,0.7655,0.7965
2,2,8E,5,8,StaticStatic,Low Light,25,High Herbicide,2,0.7515,0.782
2,2,8F,6,8,StaticStatic,Low Light,25,High Herbicide,2,0.7635,0.77575
