Week,ID,Replicate,Treatment,Stressor_app,Light_level,Light_conc,Diuron_level,Diuron_conc,Combined,Biomass_initial,Biomass_final,Proportion_biomass_change,Light_conc1,Light_conc2,Diuron_conc1,Diuron_conc2,Light_maxlow,Diuron_maxhigh
1,14A,1,14,StaticFlux,low,25,high,2,LLHD,0.5833,0.4871,-0.16492371,25,25,3,1,25,3
1,14B,2,14,StaticFlux,low,25,high,2,LLHD,0.5507,0.4803,-0.127837298,25,25,3,1,25,3
1,14C,3,14,StaticFlux,low,25,high,2,LLHD,0.2045,0.179,-0.124694377,25,25,3,1,25,3
2,14F,6,14,StaticFlux,low,25,high,2,LLHD,0.4387,0.4313,-0.016868019,25,25,3,1,25,3
2,14D,4,14,StaticFlux,low,25,high,2,LLHD,0.3155,0.3286,0.041521395,25,25,3,1,25,3
2,14E,5,14,StaticFlux,low,25,high,2,LLHD,0.2829,0.2218,-0.215977377,25,25,3,1,25,3
3,14G,7,14,StaticFlux,low,25,high,2,LLHD,0.2038,0.1941,-0.047595682,25,25,3,1,25,3
3,14H,8,14,StaticFlux,low,25,high,2,LLHD,0.2268,0.3267,0.44047619,25,25,3,1,25,3
3,14I,9,14,StaticFlux,low,25,high,2,LLHD,0.1378,0.1477,0.071843251,25,25,3,1,25,3
4,14L,12,14,StaticFlux,low,25,high,2,LLHD,0.2802,0.1645,-0.412919343,25,25,3,1,25,3
4,14J,10,14,StaticFlux,low,25,high,2,LLHD,0.2511,0.1785,-0.289127838,25,25,3,1,25,3
4,14K,11,14,StaticFlux,low,25,high,2,LLHD,0.6436,0.6501,0.010099441,25,25,3,1,25,3
1,15A,1,15,FluxStatic,medium,75,low,0,MLLD,0.3423,0.0895,-0.73853345,50,100,0,0,50,0
1,15B,2,15,FluxStatic,medium,75,low,0,MLLD,0.758,0.6586,-0.131134565,50,100,0,0,50,0
1,15C,3,15,FluxStatic,medium,75,low,0,MLLD,0.2584,0.1428,-0.447368421,50,100,0,0,50,0
2,15F,6,15,FluxStatic,medium,75,low,0,MLLD,0.1912,0.169,-0.116108787,50,100,0,0,50,0
2,15D,4,15,FluxStatic,medium,75,low,0,MLLD,0.1301,0.0557,-0.571867794,50,100,0,0,50,0
2,15E,5,15,FluxStatic,medium,75,low,0,MLLD,0.3491,0.2391,-0.315095961,50,100,0,0,50,0
3,15G,7,15,FluxStatic,medium,75,low,0,MLLD,0.1591,0.1504,-0.05468259,50,100,0,0,50,0
3,15H,8,15,FluxStatic,medium,75,low,0,MLLD,0.1508,0.2133,0.414456233,50,100,0,0,50,0
3,15I,9,15,FluxStatic,medium,75,low,0,MLLD,0.1073,0.1142,0.064305685,50,100,0,0,50,0
4,15L,12,15,FluxStatic,medium,75,low,0,MLLD,0.1967,0.2045,0.039654296,50,100,0,0,50,0
4,15J,10,15,FluxStatic,medium,75,low,0,MLLD,0.7111,0.5819,-0.181690339,50,100,0,0,50,0
4,15K,11,15,FluxStatic,medium,75,low,0,MLLD,0.8742,0.4441,-0.491992679,50,100,0,0,50,0
1,16A,1,16,FluxStatic,low,25,low,0,LLLD,0.4829,0.5227,0.08241872,0,50,0,0,0,0
1,16B,2,16,FluxStatic,low,25,low,0,LLLD,0.4394,0.4334,-0.013654984,0,50,0,0,0,0
1,16C,3,16,FluxStatic,low,25,low,0,LLLD,0.1734,0.1135,-0.34544406,0,50,0,0,0,0
2,16F,6,16,FluxStatic,low,25,low,0,LLLD,0.1608,0.143,-0.110696517,0,50,0,0,0,0
2,16D,4,16,FluxStatic,low,25,low,0,LLLD,0.2313,0,-1,0,50,0,0,0,0
2,16E,5,16,FluxStatic,low,25,low,0,LLLD,0.1405,0.0944,-0.328113879,0,50,0,0,0,0
3,16G,7,16,FluxStatic,low,25,low,0,LLLD,0.2523,0.1425,-0.435196195,0,50,0,0,0,0
3,16H,8,16,FluxStatic,low,25,low,0,LLLD,0.1886,0.1061,-0.437433722,0,50,0,0,0,0
3,16I,9,16,FluxStatic,low,25,low,0,LLLD,0.3191,0.04,-0.874647446,0,50,0,0,0,0
4,16L,12,16,FluxStatic,low,25,low,0,LLLD,0.309,0.2865,-0.072815534,0,50,0,0,0,0
4,16J,10,16,FluxStatic,low,25,low,0,LLLD,0.4336,0.3416,-0.212177122,0,50,0,0,0,0
4,16K,11,16,FluxStatic,low,25,low,0,LLLD,0.3182,0.2196,-0.309868008,0,50,0,0,0,0
1,17A,1,17,FluxStatic,medium,75,medium,1,MLMD,0.307,0.4225,0.376221498,50,100,1,1,50,1
1,17B,2,17,FluxStatic,medium,75,medium,1,MLMD,0.7401,0.4432,-0.401162005,50,100,1,1,50,1
1,17C,3,17,FluxStatic,medium,75,medium,1,MLMD,0.433,0.4393,0.014549654,50,100,1,1,50,1
2,17F,6,17,FluxStatic,medium,75,medium,1,MLMD,0.3006,0.2546,-0.153027279,50,100,1,1,50,1
2,17D,4,17,FluxStatic,medium,75,medium,1,MLMD,0.2233,0.1896,-0.150918047,50,100,1,1,50,1
2,17E,5,17,FluxStatic,medium,75,medium,1,MLMD,0.2284,0.2024,-0.113835377,50,100,1,1,50,1
3,17G,7,17,FluxStatic,medium,75,medium,1,MLMD,0.1658,0.0415,-0.749698432,50,100,1,1,50,1
3,17H,8,17,FluxStatic,medium,75,medium,1,MLMD,0.2872,0,-1,50,100,1,1,50,1
3,17I,9,17,FluxStatic,medium,75,medium,1,MLMD,0.106,0.0729,-0.312264151,50,100,1,1,50,1
4,17L,12,17,FluxStatic,medium,75,medium,1,MLMD,0.372,0.4348,0.168817204,50,100,1,1,50,1
4,17J,10,17,FluxStatic,medium,75,medium,1,MLMD,0.409,0.4436,0.084596577,50,100,1,1,50,1
4,17K,11,17,FluxStatic,medium,75,medium,1,MLMD,0.2669,0.2041,-0.235294118,50,100,1,1,50,1
1,18B,2,18,FluxStatic,low,25,medium,1,LLMD,0.5987,0.5158,-0.138466678,0,50,1,1,0,1
1,18C,3,18,FluxStatic,low,25,medium,1,LLMD,0.2201,0,-1,0,50,1,1,0,1
1,18A,1,18,FluxStatic,low,25,medium,1,LLMD,0.3423,0.2653,-0.224948875,0,50,1,1,0,1
2,18F,6,18,FluxStatic,low,25,medium,1,LLMD,0.4394,0.3958,-0.099226218,0,50,1,1,0,1
2,18D,4,18,FluxStatic,low,25,medium,1,LLMD,0.1919,0.1434,-0.2527358,0,50,1,1,0,1
2,18E,5,18,FluxStatic,low,25,medium,1,LLMD,0.1834,0.1789,-0.024536532,0,50,1,1,0,1
3,18G,7,18,FluxStatic,low,25,medium,1,LLMD,0.2911,0.0096,-0.967021642,0,50,1,1,0,1
3,18H,8,18,FluxStatic,low,25,medium,1,LLMD,0.1194,0.0466,-0.609715243,0,50,1,1,0,1
3,18I,9,18,FluxStatic,low,25,medium,1,LLMD,0.1214,0.0693,-0.429159802,0,50,1,1,0,1
4,18L,12,18,FluxStatic,low,25,medium,1,LLMD,0.3511,0.3136,-0.106807177,0,50,1,1,0,1
4,18J,10,18,FluxStatic,low,25,medium,1,LLMD,0.4757,0.4326,-0.090603321,0,50,1,1,0,1
4,18K,11,18,FluxStatic,low,25,medium,1,LLMD,0.5526,0.4611,-0.16558089,0,50,1,1,0,1
1,19A,1,19,FluxStatic,medium,75,high,2,MLHD,0.3105,0.4384,0.411916264,50,100,2,2,50,2
1,19B,2,19,FluxStatic,medium,75,high,2,MLHD,0.3586,0.3382,-0.056887897,50,100,2,2,50,2
1,19C,3,19,FluxStatic,medium,75,high,2,MLHD,0.2782,0.2116,-0.239396118,50,100,2,2,50,2
2,19F,6,19,FluxStatic,medium,75,high,2,MLHD,0.3572,0.3836,0.073908175,50,100,2,2,50,2
2,19D,4,19,FluxStatic,medium,75,high,2,MLHD,0.2834,0.2593,-0.085038814,50,100,2,2,50,2
2,19E,5,19,FluxStatic,medium,75,high,2,MLHD,0.1607,0.0948,-0.410080896,50,100,2,2,50,2
3,19G,7,19,FluxStatic,medium,75,high,2,MLHD,0.0917,0.099,0.079607415,50,100,2,2,50,2
